score,sentence
40.8533,"witty dialog between realistic characters showing honest emotions it 's touching and tender and proves that even in sorrow you can find humor like blended shades of lipstick , these components combine into one terrific story with lots of laughs"
39.8136,both a beautifully made nature film and a tribute to a woman whose passion for this region and its inhabitants still shines in her quiet blue eyes
38.3537,"a delightfully unpredictable , hilarious comedy with wonderful performances that tug at your heart in ways that utterly transcend gender labels"
37.5523,"a journey spanning nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what makes holly and marina tick , and our hearts go out to them as both continue to negotiate their imperfect , love hate relationship"
37.5249,an enjoyable comedy of lingual and cultural differences the ch teau is a film full of life and small delights that has all the wiggling energy of young kitten
37.5004,"delia , greta , and paula rank as three of the most multilayered and sympathetic female characters of the year as each of them searches for their place in the world , miller digs into their very minds to find an unblinking , flawed humanity"
36.6724,"is funny in the way that makes you ache with sadness ( the way chekhov is funny ) , profound without ever being self important , warm without ever succumbing to sentimentality"
36.5419,"art house to the core , read my lips is a genre curling crime story that revives the free wheeling noir spirit of old french cinema"
36.2482,"it 's worth the extra effort to see an artist , still committed to growth in his ninth decade , change while remaining true to his principles with a film whose very subject is , quite pointedly , about the peril of such efforts"
35.1679,"on guard ! wo n't be placed in the pantheon of the best of the swashbucklers but it is a whole lot of fun and you get to see the one of the world 's best actors , daniel auteuil , have a whale of a good time"
35.1501,"about schmidt belongs to nicholson gone are the flamboyant mannerisms that are the trademark of several of his performances as schmidt , nicholson walks with a slow , deliberate gait , chooses his words carefully and subdues his natural exuberance"
34.3123,"the fourth pokemon is a diverting if predictable adventure suitable for a matinee , with a message that cautions children about disturbing the world 's delicate ecological balance"
33.8953,a compelling french psychological drama examining the encounter of an aloof father and his chilly son after 20 years apart
32.9814,"both garcia and jagger turn in perfectly executed and wonderfully sympathetic characters , who are alternately touching and funny"
32.8574,"the determination of pinochet 's victims to seek justice , and their often heartbreaking testimony , spoken directly into director patricio guzman 's camera , pack a powerful emotional wallop"
32.4355,` alice 's adventure through the looking glass and into zombie land ' is filled with strange and wonderful creatures
31.8714,"it 's sweet it 's funny it wears its heart on the sleeve of its gaudy hawaiian shirt and , thanks to the presence of ` the king , ' it also rocks"
31.6748,"a small gem of a movie that defies classification and is as thought provoking as it is funny , scary and sad"
31.6598,"this is a gorgeous film vivid with color , music and life delight your senses and crash this wedding !"
31.3300,"to some eyes this will seem like a recycling of clich s , an assassin 's greatest hits to others , it will remind them that hong kong action cinema is still alive and kicking"
31.3207,"with this masterful , flawless film , wang emerges in the front ranks of china 's now numerous , world renowned filmmakers"
30.6303,"` in this poor remake of such a well loved classic , parker exposes the limitations of his skill and the basic flaws in his vision '"
30.4247,"a powerful , chilling , and affecting study of one man 's dying fall"
30.2570,"it 's sweet , funny , charming , and completely delightful"
29.5841,"this is a very ambitious project for a fairly inexperienced filmmaker , but good actors , good poetry and good music help sustain it"
29.5563,it rapidly develops into a gut wrenching examination of the way cultural differences and emotional expectations collide
29.1249,a stylish cast and some clever scripting solutions help chicago make the transition from stage to screen with considerable appeal intact
29.0766,"moore provides an invaluable service by sparking debate and encouraging thought better still , he does all of this , and more , while remaining one of the most savagely hilarious social critics this side of jonathan swift"
28.5363,"for a long time the film succeeds with its dark , delicate treatment of these characters and its unerring respect for them"
27.8475,"when compared to the usual , more somber festival entries , davis ' highly personal brand of romantic comedy is a tart , smart breath of fresh air that stands out from the pack even if the picture itself is somewhat problematic"
27.8136,"quiet , adult and just about more stately than any contemporary movie this year a true study , a film with a questioning heart and mind that is n't afraid to admit it does n't have all the answers"
27.7562,"is not so much a work of entertainment as it is a unique , well crafted psychological study of grief"
27.6049,it 's the unsettling images of a war ravaged land that prove more potent and riveting than the unlikely story of sarah and harrison
27.4041,"still rapturous after all these years , cinema paradiso stands as one of the great films about movie love"
27.0627,"mr wollter and ms seldhal give strong and convincing performances , but neither reaches into the deepest recesses of the character to unearth the quaking essence of passion , grief and fear"
26.6784,"a mostly believable , refreshingly low key and quietly inspirational little sports drama"
26.3645,"the strength of the film comes not from any cinematic razzle dazzle but from its recovery of an historical episode that , in the simple telling , proves simultaneously harrowing and uplifting"
26.1043,"remarkable for its excellent storytelling , its economical , compressed characterisations and for its profound humanity , it 's an adventure story and history lesson all in one"
26.0582,"an incredibly thoughtful , deeply meditative picture that neatly and effectively captures the debilitating grief felt in the immediate aftermath of the terrorist attacks"
26.0377,bravo reveals the true intent of her film by carefully selecting interview subjects who will construct a portrait of castro so predominantly charitable it can only be seen as propaganda
25.8686,"a compelling , gut clutching piece of advocacy cinema that carries you along in a torrent of emotion as it explores the awful complications of one terrifying day"
25.7874,"a mature , deeply felt fantasy of a director 's travel through 300 years of russian history"
25.6889,how much you are moved by the emotional tumult of fran ois and mich le 's relationship depends a lot on how interesting and likable you find them
25.6732,"this rich , bittersweet israeli documentary , about the life of song and dance man pasach'ke burstein and his family , transcends ethnic lines"
25.6613,a film that begins with the everyday lives of naval personnel in san diego and ends with scenes so true and heartbreaking that tears welled up in my eyes both times i saw the film
25.6236,"drama of temptation , salvation and good intentions is a thoughtful examination of faith , love and power"
25.0933,a touching drama about old age and grief with a tour de force performance by michel piccoli
25.0027,"though it flirts with bathos and pathos and the further oprahfication of the world as we know it , it still cuts all the way down to broken bone"
24.9245,"captures all the longing , anguish and ache , the confusing sexual messages and the wish to be a part of that elusive adult world"
24.9181,read my lips is to be viewed and treasured for its extraordinary intelligence and originality as well as its lyrical variations on the game of love
24.6517,one of the most splendid entertainments to emerge from the french film industry in years
24.4109,scherfig 's light hearted profile of emotional desperation is achingly honest and delightfully cheeky
24.3454,the film 's images give a backbone to the company and provide an emotional edge to its ultimate demise
23.7343,"a venturesome , beautifully realized psychological mood piece that reveals its first time feature director 's understanding of the expressive power of the camera"
23.5954,"as quiet , patient and tenacious as mr lopez himself , who approaches his difficult , endless work with remarkable serenity and discipline"
23.4154,"try as you might to scrutinize the ethics of kaufman 's approach , somehow it all comes together to create a very compelling , sensitive , intelligent and almost cohesive piece of film entertainment"
23.3304,"the film fearlessly gets under the skin of the people involved this makes it not only a detailed historical document , but an engaging and moving portrait of a subculture"
23.0556,"safe conduct is a long movie at 163 minutes but it fills the time with drama , romance , tragedy , bravery , political intrigue , partisans and sabotage viva le resistance !"
23.0481,"berling and b art continue to impress , and isabelle huppert again shows uncanny skill in getting under the skin of her characters"
22.9299,"moretti is the rare common man artist who 's wise enough to recognize that there are few things in this world more complex and , as it turns out , more fragile than happiness"
