score,sentence
-55.3830,it 's not too fast and not too slow it 's not too racy and it 's not too offensive it 's not too much of anything
-50.1244,the script was reportedly rewritten a dozen times either 11 times too many or else too few
-43.6594,"hawke 's film , a boring , pretentious waste of nearly two hours , does n't tell you anything except that the chelsea hotel today is populated by whiny , pathetic , starving and untalented artistes"
-42.0801,the script feels as if it started to explore the obvious voyeuristic potential of ` hypertime ' but then backed off when the producers saw the grosses for spy kids
-41.1777,"the thing about guys like evans is this you 're never quite sure where self promotion ends and the truth begins but as you watch the movie , you 're too interested to care"
-38.5063,resurrection has the dubious distinction of being a really bad imitation of the really bad blair witch project
-38.0982,"i 'm not sure which is worse the poor acting by the ensemble cast , the flat dialogue by vincent r nebrida or the gutless direction by laurice guillen"
-36.8217,"the film 's final hour , where nearly all the previous unseen material resides , is unconvincing soap opera that tornatore was right to cut"
-35.8159,"the following things are not at all entertaining the bad sound , the lack of climax and , worst of all , watching seinfeld ( who is also one of the film 's producers ) do everything he can to look like a good guy"
-35.0821,poor ben bratt could n't find stardom if mapquest emailed him point to point driving directions
-34.9700,"neither the funniest film that eddie murphy nor robert de niro has ever made , showtime is nevertheless efficiently amusing for a good while before it collapses into exactly the kind of buddy cop comedy it set out to lampoon , anyway"
-34.1428,"what 's the most positive thing that can be said about the new rob schneider vehicle ? well , it 's not as pathetic as the animal"
-33.3487,"davis the performer is plenty fetching enough , but she needs to shake up the mix , and work in something that does n't feel like a half baked stand up routine"
-33.1102,"instead of trying to bust some blondes , diggs should be probing why a guy with his talent ended up in a movie this bad"
-33.0263,the pace of the film is very slow ( for obvious reasons ) and that too becomes off putting
-32.8740,"curiously , super troopers suffers because it does n't have enough vices to merit its 103 minute length"
-32.0171,"yet another genre exercise , gangster no 1 is as generic as its title"
-31.8311,so verbally flatfooted and so emotionally predictable or bland that it plays like the standard made for tv movie
-30.9668,it 's absolutely amazing how first time director kevin donovan managed to find something new to add to the canon of chan make chan 's action sequences boring
-30.7149,"the film was produced by jerry bruckheimer and directed by joel schumacher , and reflects the worst of their shallow styles wildly overproduced , inadequately motivated every step of the way and demographically targeted to please every one ( and no one )"
-30.4674,"it stars schticky chris rock and stolid anthony hopkins , who seem barely in the same movie their contrast is neither dramatic nor comic it 's just a weird fizzle"
-30.0426,"there are cheesy backdrops , ridiculous action sequences , and many tired jokes about men in heels"
-29.9599,"tries to parody a genre that 's already a joke in the united states the movie is the equivalent of french hip hop , which also seems to play on a 10 year delay"
-29.9280,all too familiar basically the sort of cautionary tale that was old when ` angels with dirty faces ' appeared in 1938
-29.4011,"like a fish that 's lived too long , austin powers in goldmember has some unnecessary parts and is kinda wrong in places"
